code,candleDateTime,candleDateTimeKst,openingPrice,highPrice,lowPrice,tradePrice,candleAccTradeVolume,candleAccTradePrice,timestamp,prevClosingPrice,change,changePrice,signedChangePrice,changeRate,signedChangeRate,
CRIX.UPBIT.KRW-STEEM,2021-01-17T00:00:00+00:00,2021-01-17T09:00:00+09:00,203.0,216.0,202.0,212.0,4475559.14811981,935723834.838726,1610846539308,203.0,RISE,9.0,9.0,0.0443349754,0.0443349754,
CRIX.UPBIT.KRW-STEEM,2021-01-16T00:00:00+00:00,2021-01-16T09:00:00+09:00,197.0,208.0,196.0,203.0,12705681.81694972,2567601199.036096,1610841590341,198.0,RISE,5.0,5.0,0.0252525253,0.0252525253,
CRIX.UPBIT.KRW-STEEM,2021-01-15T00:00:00+00:00,2021-01-15T09:00:00+09:00,202.0,203.0,187.0,198.0,9868502.05295809,1927805438.1574805,1610755191925,202.0,FALL,4.0,-4.0,0.0198019802,-0.0198019802,
CRIX.UPBIT.KRW-STEEM,2021-01-14T00:00:00+00:00,2021-01-14T09:00:00+09:00,203.0,210.0,193.0,202.0,14657576.02821064,2956415702.8355713,1610668788187,203.0,FALL,1.0,-1.0,0.0049261084,-0.0049261084,
CRIX.UPBIT.KRW-STEEM,2021-01-13T00:00:00+00:00,2021-01-13T09:00:00+09:00,193.0,203.0,187.0,203.0,8449519.9496373,1634177582.6904376,1610582396304,193.0,RISE,10.0,10.0,0.0518134715,0.0518134715,
CRIX.UPBIT.KRW-STEEM,2021-01-12T00:00:00+00:00,2021-01-12T09:00:00+09:00,197.0,205.0,186.0,193.0,12912230.76077436,2505518100.108437,1610495920862,197.0,FALL,4.0,-4.0,0.0203045685,-0.0203045685,
CRIX.UPBIT.KRW-STEEM,2021-01-11T00:00:00+00:00,2021-01-11T09:00:00+09:00,226.0,228.0,179.0,197.0,30921669.07058021,6025113015.993212,1610409590981,226.0,FALL,29.0,-29.0,0.1283185841,-0.1283185841,
CRIX.UPBIT.KRW-STEEM,2021-01-10T00:00:00+00:00,2021-01-10T09:00:00+09:00,229.0,275.0,201.0,226.0,105257162.09606123,25641270264.858566,1610323181866,230.0,FALL,4.0,-4.0,0.0173913043,-0.0173913043,
CRIX.UPBIT.KRW-STEEM,2021-01-09T00:00:00+00:00,2021-01-09T09:00:00+09:00,215.0,244.0,206.0,230.0,22012573.74980986,4876338177.977807,1610236800020,215.0,RISE,15.0,15.0,0.0697674419,0.0697674419,
CRIX.UPBIT.KRW-STEEM,2021-01-08T00:00:00+00:00,2021-01-08T09:00:00+09:00,208.0,216.0,190.0,215.0,21198204.7502673,4363536562.275201,1610150378718,208.0,RISE,7.0,7.0,0.0336538462,0.0336538462,
CRIX.UPBIT.KRW-STEEM,2021-01-07T00:00:00+00:00,2021-01-07T09:00:00+09:00,205.0,219.0,194.0,208.0,28986421.08562254,6055742382.523211,1610063996376,205.0,RISE,3.0,3.0,0.0146341463,0.0146341463,
CRIX.UPBIT.KRW-STEEM,2021-01-06T00:00:00+00:00,2021-01-06T09:00:00+09:00,186.0,209.0,180.0,205.0,22732568.21731192,4411268012.067528,1609977586155,186.0,RISE,19.0,19.0,0.1021505376,0.1021505376,
CRIX.UPBIT.KRW-STEEM,2021-01-05T00:00:00+00:00,2021-01-05T09:00:00+09:00,182.0,187.0,174.0,186.0,8948243.15535699,1610881226.679873,1609891147442,182.0,RISE,4.0,4.0,0.021978022,0.021978022,
CRIX.UPBIT.KRW-STEEM,2021-01-04T00:00:00+00:00,2021-01-04T09:00:00+09:00,185.0,192.0,169.0,182.0,20274197.82066988,3667154087.498457,1609804764047,184.0,FALL,2.0,-2.0,0.0108695652,-0.0108695652,
CRIX.UPBIT.KRW-STEEM,2021-01-03T00:00:00+00:00,2021-01-03T09:00:00+09:00,181.0,186.0,174.0,184.0,13802208.84404839,2464206625.1670375,1609718398008,181.0,RISE,3.0,3.0,0.0165745856,0.0165745856,
CRIX.UPBIT.KRW-STEEM,2021-01-02T00:00:00+00:00,2021-01-02T09:00:00+09:00,179.0,195.0,177.0,181.0,21457692.47244091,3959087171.20306,1609631966496,179.0,RISE,2.0,2.0,0.0111731844,0.0111731844,
CRIX.UPBIT.KRW-STEEM,2021-01-01T00:00:00+00:00,2021-01-01T09:00:00+09:00,173.0,180.0,172.0,179.0,7624825.93070194,1343743740.830835,1609545591342,172.0,RISE,7.0,7.0,0.0406976744,0.0406976744,
CRIX.UPBIT.KRW-STEEM,2020-12-31T00:00:00+00:00,2020-12-31T09:00:00+09:00,175.0,175.0,170.0,172.0,2785019.41211941,479089103.86191714,1609458869856,174.0,FALL,2.0,-2.0,0.0114942529,-0.0114942529,
CRIX.UPBIT.KRW-STEEM,2020-12-30T00:00:00+00:00,2020-12-30T09:00:00+09:00,179.0,179.0,172.0,174.0,3616494.58197565,630570311.0368009,1609372785360,179.0,FALL,5.0,-5.0,0.0279329609,-0.0279329609,
CRIX.UPBIT.KRW-STEEM,2020-12-29T00:00:00+00:00,2020-12-29T09:00:00+09:00,182.0,184.0,172.0,179.0,7117375.038307,1262815884.8521776,1609286398818,182.0,FALL,3.0,-3.0,0.0164835165,-0.0164835165,
CRIX.UPBIT.KRW-STEEM,2020-12-28T00:00:00+00:00,2020-12-28T09:00:00+09:00,177.0,184.0,173.0,182.0,7051480.7405386,1257789089.657291,1609199977638,177.0,RISE,5.0,5.0,0.0282485876,0.0282485876,
